ID,出场次数,KDA,参团率,场均击杀,单场最高击杀,场均死亡,单场最高死亡,场均助攻,单场最高助攻,GPM,CSPM,每分钟输出,输出占比,每分钟承受伤害,伤害占比,每分钟插眼数,每分钟排眼数
Doinb,50.00 ,5.70 ,0.74 ,4.30 ,11.00 ,2.00 ,6.00 ,6.80 ,15.00 ,425.00 ,8.60 ,544.00 ,0.30 ,588.00 ,0.22 ,0.43 ,0.22 
Knight,50.00 ,5.50 ,0.75 ,4.90 ,19.00 ,2.00 ,7.00 ,6.30 ,15.00 ,421.00 ,8.58 ,642.00 ,0.31 ,439.00 ,0.16 ,0.35 ,0.21 
Scout,49.00 ,4.60 ,0.66 ,3.50 ,9.00 ,2.00 ,5.00 ,5.40 ,11.00 ,402.00 ,8.49 ,473.00 ,0.27 ,454.00 ,0.18 ,0.40 ,0.23 
Rookie,46.00 ,3.20 ,0.67 ,3.90 ,13.00 ,3.20 ,8.00 ,6.50 ,14.00 ,378.00 ,7.52 ,650.00 ,0.28 ,463.00 ,0.17 ,0.37 ,0.25 
Yagao,44.00 ,6.00 ,0.67 ,3.60 ,7.00 ,1.60 ,4.00 ,5.90 ,13.00 ,392.00 ,8.16 ,492.00 ,0.26 ,424.00 ,0.17 ,0.42 ,0.31 
Xiaohu,42.00 ,3.50 ,0.69 ,3.50 ,10.00 ,2.50 ,8.00 ,5.50 ,17.00 ,386.00 ,8.18 ,489.00 ,0.28 ,464.00 ,0.19 ,0.42 ,0.24 
FoFo,42.00 ,4.70 ,0.74 ,3.40 ,10.00 ,1.90 ,6.00 ,5.30 ,14.00 ,383.00 ,8.15 ,562.00 ,0.30 ,421.00 ,0.16 ,0.47 ,0.31 
Maple,41.00 ,3.90 ,0.70 ,3.10 ,13.00 ,2.00 ,6.00 ,4.70 ,16.00 ,371.00 ,7.92 ,509.00 ,0.28 ,407.00 ,0.15 ,0.50 ,0.24 
Cryin,41.00 ,6.10 ,0.78 ,5.20 ,14.00 ,2.10 ,5.00 ,7.70 ,15.00 ,416.00 ,8.20 ,617.00 ,0.29 ,521.00 ,0.19 ,0.41 ,0.18 
Angel,41.00 ,4.70 ,0.74 ,4.20 ,13.00 ,2.10 ,7.00 ,6.00 ,14.00 ,383.00 ,7.75 ,545.00 ,0.26 ,458.00 ,0.16 ,0.48 ,0.19 
Teacherma,39.00 ,3.80 ,0.71 ,3.40 ,9.00 ,2.80 ,11.00 ,7.30 ,17.00 ,364.00 ,7.19 ,466.00 ,0.24 ,551.00 ,0.19 ,0.36 ,0.13 
icon,38.00 ,2.90 ,0.67 ,2.80 ,13.00 ,2.40 ,6.00 ,4.20 ,10.00 ,386.00 ,8.45 ,476.00 ,0.27 ,480.00 ,0.18 ,0.42 ,0.15 
Yuuki,36.00 ,2.80 ,0.68 ,3.10 ,11.00 ,3.20 ,7.00 ,5.80 ,18.00 ,392.00 ,8.32 ,514.00 ,0.26 ,580.00 ,0.19 ,0.40 ,0.23 
Forge,33.00 ,3.30 ,0.70 ,3.80 ,10.00 ,2.70 ,6.00 ,5.30 ,12.00 ,397.00 ,8.37 ,504.00 ,0.27 ,598.00 ,0.21 ,0.45 ,0.19 
Ruby,31.00 ,2.60 ,0.66 ,2.70 ,7.00 ,3.40 ,8.00 ,5.90 ,15.00 ,352.00 ,7.10 ,474.00 ,0.26 ,545.00 ,0.19 ,0.44 ,0.30 
xiye,26.00 ,3.10 ,0.67 ,3.70 ,9.00 ,2.50 ,6.00 ,4.20 ,11.00 ,387.00 ,7.92 ,474.00 ,0.28 ,510.00 ,0.19 ,0.31 ,0.25 
Mole,23.00 ,1.50 ,0.70 ,2.30 ,6.00 ,4.20 ,8.00 ,4.00 ,8.00 ,358.00 ,7.72 ,507.00 ,0.30 ,500.00 ,0.18 ,0.36 ,0.21 
clx,10.00 ,1.20 ,0.60 ,1.40 ,3.00 ,3.70 ,7.00 ,3.20 ,10.00 ,332.00 ,7.33 ,443.00 ,0.27 ,605.00 ,0.21 ,0.48 ,0.17 
Plex,10.00 ,2.50 ,0.68 ,1.80 ,5.00 ,2.80 ,5.00 ,5.30 ,12.00 ,331.00 ,6.92 ,373.00 ,0.24 ,404.00 ,0.16 ,0.39 ,0.14 
Zeka,10.00 ,3.20 ,0.64 ,2.90 ,9.00 ,1.60 ,4.00 ,2.30 ,7.00 ,348.00 ,7.57 ,464.00 ,0.31 ,442.00 ,0.17 ,0.38 ,0.16 
Xiaowei,9.00 ,4.40 ,0.69 ,2.60 ,6.00 ,2.10 ,7.00 ,6.80 ,20.00 ,379.00 ,8.09 ,508.00 ,0.28 ,480.00 ,0.18 ,0.41 ,0.25 
Wuming,9.00 ,3.60 ,0.78 ,3.70 ,8.00 ,3.70 ,7.00 ,9.40 ,20.00 ,348.00 ,6.64 ,576.00 ,0.28 ,557.00 ,0.19 ,0.36 ,0.20 
Fenfen,2.00 ,3.60 ,0.78 ,4.50 ,7.00 ,2.50 ,4.00 ,4.50 ,7.00 ,399.00 ,6.85 ,443.00 ,0.25 ,517.00 ,0.18 ,0.44 ,0.15 
